R_fighter;B_fighter;R_KD;B_KD;R_SIG_STR.;B_SIG_STR.;R_SIG_STR_pct;B_SIG_STR_pct;R_TOTAL_STR.;B_TOTAL_STR.;R_TD;B_TD;R_TD_pct;B_TD_pct;R_SUB_ATT;B_SUB_ATT;R_PASS;B_PASS;R_REV;B_REV;R_HEAD;B_HEAD;R_BODY;B_BODY;R_LEG;B_LEG;R_DISTANCE;B_DISTANCE;R_CLINCH;B_CLINCH;R_GROUND;B_GROUND;win_by;last_round;last_round_time;Format;Referee;date;location;Fight_type;Winner
Tyron Woodley;Gilbert Burns;0;0;28 of 64;83 of 138;43%;60%;65 of 101;156 of 211;0 of 2;2 of 8;0%;25%;0;1;0;3;0;0;14 of 44;41 of 82;12 of 17;27 of 31;2 of 3;15 of 25;19 of 55;51 of 102;9 of 9;13 of 16;0 of 0;19 of 20;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;May 30, 2020;Las Vegas, Nevada, USA;Welterweight Bout;Gilbert Burns
Blagoy Ivanov;Augusto Sakai;0;0;66 of 125;78 of 161;52%;48%;71 of 130;89 of 174;1 of 3;0 of 0;33%;0%;0;0;1;0;0;0;47 of 105;35 of 105;18 of 19;28 of 38;1 of 1;15 of 18;52 of 107;62 of 144;12 of 15;14 of 15;2 of 3;2 of 2;Decision - Split;3;5:00;3 Rnd (5-5-5);Jason McCoy;May 30, 2020;Las Vegas, Nevada, USA;Heavyweight Bout;Augusto Sakai
Billy Quarantillo;Spike Carlyle;0;0;49 of 66;37 of 66;74%;56%;110 of 135;64 of 102;2 of 3;3 of 6;66%;50%;2;0;2;4;1;3;42 of 59;34 of 63;6 of 6;2 of 2;1 of 1;1 of 1;12 of 22;12 of 16;5 of 5;4 of 4;32 of 39;21 of 46;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;May 30, 2020;Las Vegas, Nevada, USA;Catch Weight Bout;Billy Quarantillo
Roosevelt Roberts;Brok Weaver;0;0;40 of 61;14 of 48;65%;29%;54 of 76;26 of 62;1 of 3;0 of 0;33%;0%;3;0;3;0;0;0;27 of 45;5 of 35;7 of 10;9 of 11;6 of 6;0 of 2;25 of 46;10 of 41;2 of 2;4 of 7;13 of 13;0 of 0;Submission;2;3:26;3 Rnd (5-5-5);Herb Dean;May 30, 2020;Las Vegas, Nevada, USA;Lightweight Bout;Roosevelt Roberts
Mackenzie Dern;Hannah Cifers;0;0;5 of 21;7 of 26;23%;26%;5 of 21;11 of 31;0 of 1;0 of 0;0%;0%;1;0;0;0;0;0;2 of 18;3 of 19;1 of 1;3 of 6;2 of 2;1 of 1;5 of 21;3 of 19;0 of 0;4 of 5;0 of 0;0 of 2;Submission;1;2:36;3 Rnd (5-5-5);Jason Herzog;May 30, 2020;Las Vegas, Nevada, USA;Women's Strawweight Bout;Mackenzie Dern
Katlyn Chookagian;Antonina Shevchenko;0;0;73 of 108;25 of 64;67%;39%;200 of 240;37 of 76;3 of 3;0 of 0;100%;0%;4;0;3;0;0;0;55 of 81;14 of 50;12 of 18;6 of 9;6 of 9;5 of 5;22 of 49;21 of 59;4 of 4;4 of 5;47 of 55;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Chris Tognoni;May 30, 2020;Las Vegas, Nevada, USA;Women's Flyweight Bout;Katlyn Chookagian
Daniel Rodriguez;Gabe Green;0;0;175 of 344;127 of 273;50%;46%;175 of 345;127 of 273;1 of 1;0 of 0;100%;0%;0;0;1;0;0;0;139 of 302;61 of 198;27 of 33;51 of 58;9 of 9;15 of 17;169 of 337;125 of 269;4 of 5;2 of 4;2 of 2;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;May 30, 2020;Las Vegas, Nevada, USA;Welterweight Bout;Daniel Rodriguez
Jamahal Hill;Klidson Abreu;2;0;14 of 24;5 of 7;58%;71%;14 of 24;5 of 7;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;9 of 19;0 of 2;4 of 4;1 of 1;1 of 1;4 of 4;9 of 18;4 of 6;2 of 2;1 of 1;3 of 4;0 of 0;KO/TKO;1;1:51;3 Rnd (5-5-5);Herb Dean;May 30, 2020;Las Vegas, Nevada, USA;Light Heavyweight Bout;Jamahal Hill
Tim Elliott;Brandon Royval;0;0;17 of 32;16 of 33;53%;48%;40 of 55;22 of 41;4 of 10;1 of 1;40%;100%;0;2;2;3;1;1;6 of 18;9 of 26;3 of 5;4 of 4;8 of 9;3 of 3;11 of 24;12 of 29;3 of 5;1 of 1;3 of 3;3 of 3;Submission;2;3:18;3 Rnd (5-5-5);Mark Smith;May 30, 2020;Las Vegas, Nevada, USA;Flyweight Bout;Brandon Royval
Louis Smolka;Casey Kenney;0;0;18 of 43;32 of 52;41%;61%;18 of 43;32 of 52;0 of 1;0 of 0;0%;0%;0;1;0;0;0;0;4 of 16;15 of 34;14 of 27;5 of 6;0 of 0;12 of 12;16 of 41;31 of 51;2 of 2;1 of 1;0 of 0;0 of 0;Submission;1;3:03;3 Rnd (5-5-5);Chris Tognoni;May 30, 2020;Las Vegas, Nevada, USA;Bantamweight Bout;Casey Kenney
Chris Gutierrez;Vince Morales;2;0;60 of 94;8 of 27;63%;29%;60 of 94;8 of 27;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;20 of 43;4 of 21;4 of 6;4 of 6;36 of 45;0 of 0;56 of 90;8 of 27;0 of 0;0 of 0;4 of 4;0 of 0;KO/TKO;2;4:27;3 Rnd (5-5-5);Jason Herzog;May 30, 2020;Las Vegas, Nevada, USA;Featherweight Bout;Chris Gutierrez
Jessica Eye;Cynthia Calvillo;0;0;70 of 280;113 of 237;25%;47%;70 of 283;150 of 294;0 of 0;4 of 7;0%;57%;0;0;0;8;0;0;59 of 261;77 of 185;10 of 17;32 of 48;1 of 2;4 of 4;69 of 276;105 of 225;1 of 4;1 of 1;0 of 0;7 of 11;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;June 13, 2020;Las Vegas, Nevada, USA;Women's Flyweight Bout;Cynthia Calvillo
Karl Roberson;Marvin Vettori;0;0;4 of 16;45 of 64;25%;70%;4 of 16;60 of 79;0 of 0;2 of 3;0%;66%;0;2;1;2;0;0;4 of 16;45 of 64;0 of 0;0 of 0;0 of 0;0 of 0;4 of 16;2 of 12;0 of 0;0 of 0;0 of 0;43 of 52;Submission;1;4:17;3 Rnd (5-5-5);Dan Miragliotta;June 13, 2020;Las Vegas, Nevada, USA;Middleweight Bout;Marvin Vettori
Charles Rosa;Kevin Aguilar;0;0;69 of 173;53 of 135;39%;39%;69 of 173;53 of 135;0 of 1;0 of 2;0%;0%;0;0;0;0;0;0;33 of 119;34 of 109;15 of 26;17 of 22;21 of 28;2 of 4;69 of 173;50 of 130;0 of 0;3 of 5;0 of 0;0 of 0;Decision - Split;3;5:00;3 Rnd (5-5-5);Mark Smith;June 13, 2020;Las Vegas, Nevada, USA;Lightweight Bout;Charles Rosa
Andre Fili;Charles Jourdain;0;1;44 of 171;62 of 138;25%;44%;52 of 183;65 of 142;5 of 6;0 of 0;83%;0%;0;0;5;0;0;0;36 of 157;26 of 85;5 of 10;15 of 32;3 of 4;21 of 21;42 of 165;61 of 133;0 of 1;0 of 2;2 of 5;1 of 3;Decision - Split;3;5:00;3 Rnd (5-5-5);Chris Tognoni;June 13, 2020;Las Vegas, Nevada, USA;Featherweight Bout;Andre Fili
Jordan Espinosa;Mark De La Rosa;0;0;126 of 185;37 of 118;68%;31%;188 of 254;43 of 127;2 of 3;0 of 3;66%;0%;0;0;2;0;0;0;93 of 149;14 of 80;16 of 17;12 of 19;17 of 19;11 of 19;69 of 117;32 of 102;39 of 46;5 of 16;18 of 22;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Herb Dean;June 13, 2020;Las Vegas, Nevada, USA;Bantamweight Bout;Jordan Espinosa
Mariya Agapova;Hannah Cifers;1;0;29 of 52;11 of 32;55%;34%;36 of 59;14 of 36;0 of 0;0 of 0;0%;0%;1;0;1;0;0;0;20 of 41;4 of 21;8 of 10;3 of 5;1 of 1;4 of 6;19 of 35;7 of 23;10 of 17;4 of 9;0 of 0;0 of 0;Submission;1;2:42;3 Rnd (5-5-5);Dan Miragliotta;June 13, 2020;Las Vegas, Nevada, USA;Women's Flyweight Bout;Mariya Agapova
Merab Dvalishvili;Gustavo Lopez;0;0;73 of 128;14 of 57;57%;24%;110 of 187;49 of 103;13 of 18;0 of 0;72%;0%;2;0;14;0;0;0;47 of 99;5 of 46;13 of 15;5 of 5;13 of 14;4 of 6;23 of 54;10 of 43;3 of 3;4 of 14;47 of 71;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;June 13, 2020;Las Vegas, Nevada, USA;Catch Weight Bout;Merab Dvalishvili
Julia Avila;Gina Mazany;0;0;11 of 20;2 of 4;55%;50%;11 of 22;2 of 4;0 of 0;0 of 1;0%;0%;0;0;0;0;0;0;10 of 19;2 of 4;1 of 1;0 of 0;0 of 0;0 of 0;1 of 6;1 of 3;10 of 14;1 of 1;0 of 0;0 of 0;KO/TKO;1;0:22;3 Rnd (5-5-5);Chris Tognoni;June 13, 2020;Las Vegas, Nevada, USA;Women's Bantamweight Bout;Julia Avila
Tyson Nam;Zarrukh Adashev;1;0;2 of 3;2 of 6;66%;33%;2 of 3;2 of 6;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;2 of 3;1 of 5;0 of 0;0 of 0;0 of 0;1 of 1;1 of 2;2 of 6;0 of 0;0 of 0;1 of 1;0 of 0;KO/TKO;1;0:32;3 Rnd (5-5-5);Herb Dean;June 13, 2020;Las Vegas, Nevada, USA;Bantamweight Bout;Tyson Nam
Anthony Ivy;Christian Aguilera;0;0;4 of 11;10 of 23;36%;43%;4 of 11;10 of 23;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;0 of 7;9 of 22;0 of 0;1 of 1;4 of 4;0 of 0;4 of 11;10 of 23;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;0:59;3 Rnd (5-5-5);Dan Miragliotta;June 13, 2020;Las Vegas, Nevada, USA;Welterweight Bout;Christian Aguilera
Amanda Nunes;Felicia Spencer;0;0;124 of 214;42 of 130;57%;32%;132 of 222;70 of 161;6 of 7;0 of 7;85%;0%;1;0;5;0;0;0;90 of 170;24 of 106;13 of 20;7 of 9;21 of 24;11 of 15;91 of 173;36 of 118;1 of 1;4 of 9;32 of 40;2 of 3;Decision - Unanimous;5;5:00;5 Rnd (5-5-5-5-5);Herb Dean;June 06, 2020;Las Vegas, Nevada, USA;UFC Women's Featherweight Title Bout;Amanda Nunes
Raphael Assuncao;Cody Garbrandt;0;1;17 of 52;19 of 43;32%;44%;17 of 52;20 of 45;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;4 of 25;7 of 24;2 of 11;2 of 5;11 of 16;10 of 14;17 of 52;19 of 43;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;2;4:59;3 Rnd (5-5-5);Keith Peterson;June 06, 2020;Las Vegas, Nevada, USA;Bantamweight Bout;Cody Garbrandt
Aljamain Sterling;Cory Sandhagen;0;0;2 of 3;1 of 2;66%;50%;10 of 12;1 of 2;0 of 1;0 of 0;0%;0%;2;0;1;0;0;0;0 of 0;0 of 1;0 of 0;1 of 1;2 of 3;0 of 0;2 of 3;1 of 2;0 of 0;0 of 0;0 of 0;0 of 0;Submission;1;1:28;3 Rnd (5-5-5);Chris Tognoni;June 06, 2020;Las Vegas, Nevada, USA;Bantamweight Bout;Aljamain Sterling
Neil Magny;Anthony Rocco Martin;0;0;64 of 110;37 of 82;58%;45%;82 of 130;46 of 91;0 of 6;1 of 2;0%;50%;0;0;0;1;0;0;30 of 70;26 of 70;17 of 20;4 of 4;17 of 20;7 of 8;48 of 93;34 of 77;16 of 17;3 of 5;0 of 0;0 of 0;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;June 06, 2020;Las Vegas, Nevada, USA;Welterweight Bout;Neil Magny
Eddie Wineland;Sean O'Malley;0;1;4 of 7;13 of 20;57%;65%;4 of 7;13 of 20;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;3 of 5;5 of 10;1 of 2;5 of 7;0 of 0;3 of 3;4 of 7;13 of 20;0 of 0;0 of 0;0 of 0;0 of 0;KO/TKO;1;1:54;3 Rnd (5-5-5);Herb Dean;June 06, 2020;Las Vegas, Nevada, USA;Bantamweight Bout;Sean O'Malley
Alex Caceres;Chase Hooper;1;0;103 of 164;53 of 187;62%;28%;109 of 170;60 of 197;1 of 1;0 of 2;100%;0%;0;0;0;0;0;1;79 of 136;38 of 167;13 of 16;11 of 14;11 of 12;4 of 6;84 of 140;46 of 179;5 of 6;4 of 4;14 of 18;3 of 4;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Keith Peterson;June 06, 2020;Las Vegas, Nevada, USA;Featherweight Bout;Alex Caceres
Ian Heinisch;Gerald Meerschaert;1;0;20 of 25;3 of 10;80%;30%;22 of 27;3 of 10;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;17 of 22;1 of 8;1 of 1;2 of 2;2 of 2;0 of 0;5 of 5;3 of 10;0 of 0;0 of 0;15 of 20;0 of 0;KO/TKO;1;1:14;3 Rnd (5-5-5);Chris Tognoni;June 06, 2020;Las Vegas, Nevada, USA;Middleweight Bout;Ian Heinisch
Cody Stamann;Brian Kelleher;0;0;89 of 179;57 of 177;49%;32%;113 of 205;64 of 185;2 of 4;1 of 3;50%;33%;0;0;0;0;0;0;68 of 153;26 of 128;16 of 21;12 of 28;5 of 5;19 of 21;77 of 163;53 of 170;7 of 10;3 of 6;5 of 6;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;June 06, 2020;Las Vegas, Nevada, USA;Featherweight Bout;Cody Stamann
Charles Byrd;Maki Pitolo;0;0;11 of 25;29 of 59;44%;49%;16 of 31;33 of 65;1 of 2;3 of 3;50%;100%;0;0;1;2;1;0;10 of 24;20 of 48;1 of 1;9 of 11;0 of 0;0 of 0;7 of 17;16 of 39;0 of 0;5 of 5;4 of 8;8 of 15;KO/TKO;2;1:10;3 Rnd (5-5-5);Herb Dean;June 06, 2020;Las Vegas, Nevada, USA;Middleweight Bout;Maki Pitolo
Jussier Formiga;Alex Perez;0;2;18 of 41;29 of 61;43%;47%;18 of 41;29 of 61;0 of 0;0 of 0;0%;0%;0;0;0;0;0;0;17 of 38;12 of 39;0 of 2;2 of 4;1 of 1;15 of 18;17 of 40;24 of 55;1 of 1;5 of 6;0 of 0;0 of 0;KO/TKO;1;4:06;3 Rnd (5-5-5);Keith Peterson;June 06, 2020;Las Vegas, Nevada, USA;Flyweight Bout;Alex Perez
Alonzo Menifield;Devin Clark;0;0;39 of 85;79 of 124;45%;63%;54 of 103;150 of 198;0 of 2;1 of 10;0%;10%;0;0;0;1;0;0;31 of 75;23 of 67;6 of 8;56 of 57;2 of 2;0 of 0;13 of 45;21 of 62;26 of 40;57 of 61;0 of 0;1 of 1;Decision - Unanimous;3;5:00;3 Rnd (5-5-5);Mark Smith;June 06, 2020;Las Vegas, Nevada, USA;Light Heavyweight Bout;Devin Clark
